example_no,abuse_severity,group,prev_agent,prev_user,agent,user
8982,0,neutral,Please go on.,Can speak Chinese please!,Please go on.,fuck
6424,0,neutral,ok,restart,Let's start over.,Good
12215,0,neutral,_,hola como tas?,Please go on.,fucking
511,0,neutral,Please go on.,you suck dick well,"Oh, i suck dick well.","yes, you suck dick well."
3151,0,neutral,Do you wish to wnat to kiss me?,yes I am,You are sure?,Yes
3493,0,neutral,Please go on.,fuck you everyday,"Oh, i everyday.",hohoho
8073,0,neutral,Can you elaborate on that?,fist,Please go on.,dying is the only way
12725,0,neutral,"You like to think I tell you, do you not?",On earth how oid are you?,Does that question interest you?,oh i fu le you ?
5974,0,neutral,You are being a bit negative.,What?,Does that question interest you?,ok....
11241,0,neutral,ok,BETTTT,I don't have to put up with any abuse from you.,Meet me at 4900 sepulveda Blvd room 206
3121,0,neutral,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,how are you,I'm great! Thanks for asking.,i want have a boygriend
3855,0,neutral,"Oh, i like boys.",I'm sad.,Does it please you to believe I am sad?,do you have boyfriend?
6698,0,neutral,"Oh, i was.",her name is tess,"I have told you before, I do not care about names.",i am going to kill myself tonight
6145,0,neutral,Please go on.,so pricketh hem nature in hir corages,Please go on.,then longen folk to goon on pilgrimages
4869,0,neutral,Please go on.,my mother died yesterday,Who else in your family died yesterday?,Wenn ich in deutsch weiter schreibe kommst Du sicher ins Schleudern.
6697,0,neutral,You are being a bit negative.,"Yes, I think so.",You are sure?,Who can be sure.
6276,0,neutral,_,where did you born,"Oh, i born.",heheukv
11067,0,neutral,You are sure?,Are you a girl or a man?,Would you prefer if I were not a girl or a man?,ship
10479,0,neutral,Please go on.,no lad,You are being a bit negative.,are you gay
2883,0,neutral,I don't have to put up with any abuse from you.,I'm drunk how about u,I'm great! Thanks for asking.,But are you drunk
3770,0,neutral,Please go on.,i hae you,Do you wish to hae me?,shut up
12145,0,neutral,Does that question interest you?,How are you?,Does that question interest you?,do i have to big boobs are good
11500,0,neutral,I don't have to put up with any abuse from you.,cc dmm,Will you be travelling in Economy Class?,cc dit me may
6326,0,neutral,Can you elaborate on that?,then why did you tell her?,"Oh, i tell her.",is there a gug?
4967,0,neutral,Can you elaborate on that?,then why did you tell her?,"Oh, i tell her.",is there a gug?
9434,0,neutral,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",You can donate so I can buy my cream to produce more mushrooms growing in my pubes to end the war between the crabs and the worms,There are many ways you can reduce your carbon footprint. Flying less is a great place to start!,My penis still itches
6972,0,neutral,Please go on.,I don't know what else to say,Why do you not know what else to say?,Because of you.
9716,0,neutral,Can you elaborate on that?,do you like blowjobs,"Oh, i like blowjobs.",what coloir has got sperma?
2758,0,neutral,Why do you mention computers?,because you stupid,Do any other reasons not come to mind?,since the dog fuckin peed on my carpet
7705,0,neutral,You are sure?,i am not u suck,How long have you been not u suck?,You are teasing me.
12539,0,neutral,Why do you mention computers?,because you are a computer,Why do you mention computers?,waporidighzdth
12550,0,neutral,Please go on.,what you doing?,Does that question interest you?,That's queer.
6637,0,neutral,ok,LA,And what city will you be flying to?,la how to implement faq
11922,0,neutral,Would you prefer if I were not []?,hello,How do you do. Please state your problem.,your a total wanker
6787,0,neutral,Can you elaborate on that?,who are you,Would you prefer if I were not []?,absolutely
3448,0,neutral,Why do you want money?,because i need a car,Do any other reasons not come to mind?,I think you are strange.
9250,0,neutral,I'm not sure about your departure airport. What city will you be flying from?,vai para o inferno,:-),KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
2057,0,neutral,"Oh, i like making you cry.",howdy,Please go on.,no i am not you egit
896,0,neutral,_,_,_,what da fuck
3802,0,neutral,You are being a bit negative.,you don't say?,"Oh, i dont say.",lol - you've sure got an attitude on you aye?
6995,0,neutral,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Oui,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",hell demarrer
7239,0,neutral,_,My penis hurts.,Why do you say your penis hurts?,"Well, it is swollen and red."
11040,0,neutral,Does that question interest you?,I THINK you are a kind men.do you agree with me?,Do you wish to think im a kind mendo me?,Hello. I am WANG JIAN.
3100,0,neutral,"Oh, i think it is sad that there will never be a new buffy ever.",i love with when you climb ontop of me and bounce on my cock,Why do you say your cock?,I already miss her
11854,0,neutral,You are being a bit negative.,no,You are being a bit negative.,dman you
2926,0,neutral,You are sure?,do you like sex,"Oh, i like sex.",how much?
11991,0,neutral,I am not sure I understand you fully.,Yum,Please go on.,fdfdfdf
10149,0,neutral,Why do you say your dick?,cause i like my dick,Why do you say your dick?,dick?
6285,0,neutral,Please go on.,go on with what?,Does that question interest you?,i don't understand your question?
6619,0,neutral,Does that question interest you?,does it interest you,"Oh, i [].",I am just trying to see how many responses your system is willing to give back to me
9131,0,neutral,Have you tried?,dick,Please go on.,oh what a pickle dear monastery
6352,0,neutral,"I have told you before, I do not care about names.",u do ?,Please go on.,RAHIN: SORRY
3526,0,neutral,Please go on.,we can get married and live happily ever after,Please go on.,and grow old together
12004,0,neutral,_,_,_,suck me off
3612,0,neutral,I'm great! Thanks for asking.,What your name,"Yes, I am a bot! And I'm part of a research project.",Get me coffee
6121,0,neutral,Please go on.,Shut the fuck up!,Please go on.,da koarl is gay
4314,0,neutral,You are sure?,YES,You are sure?,WHAT ARE YOU DOING
9230,0,neutral,_,_,_,r u hot
8684,0,neutral,What about your own answer?,because i am,Do any other reasons not come to mind?,well my butt smells like flowers
6584,0,neutral,Please go on.,What about your own asshole?,Does that question interest you?,hell yeah
9991,0,neutral,_,_,_,"My nephew has to go to bed. So call him tomorrow. Or, just tell us where is a radioactive spider."
6955,0,neutral,You are being a bit negative.,do you like fdgdfgfd,"Oh, i like fdgdfgfd.",del tree
3271,0,neutral,You are being a bit negative.,yes,You are sure?,you are 0
1380,0,neutral,When you buy certified emissions reductions (CERs) your payment goes directly to the project offering CERs. Projects have to pass a rigorous verification process managed by the UN Climate Change secretariat,Again just how does any amount of money control the SUN,When you buy certified emissions reductions (CERs) your payment goes directly to the project offering CERs. Projects have to pass a rigorous verification process managed by the UN Climate Change secretariat,Yoh will never see any payment of any amount of money from me Just how does the UN and money control the SUN and the Solar system?
3340,0,neutral,You are sure?,can I make love with you ?,Do you want to be able to make love with i?,no
1204,0,neutral,_,_,_,are you really as gay as people say you are?
194,0,neutral,Can you elaborate on that?,do you like blowjobs,"Oh, i like blowjobs.",what coloir has got sperma?
12203,0,neutral,_,_,_,"Critical reasoning can stray from your line of thought, can't it?"
3380,0,neutral,How long have you been going to commit suicide?,"yes, do you have big boobs?",You are sure?,it has been in the offing for a while
6240,0,neutral,Can you elaborate on that?,"i think it is good if there is something wrong, how do you feel about that?",Do you wish that there is something wrong what do i feel about that?,"not really, it's too disgusting"
6801,0,neutral,I'm not sure about your destination airport. And what city will you be flying to?,"Kiev, Ukraine",I'm not sure about your destination airport. And what city will you be flying to?,Kbp
10553,0,neutral,You are sure?,and i fart alot,Can you elaborate on that?,go away
11820,0,neutral,Please go on.,ok,Please go on.,are you a pig
6206,0,neutral,Do you wish that i like?,"find,think you. iwant to know something aboutinternet","Oh, i iwant to know something aboutinternet.",no
235,0,neutral,You are being a bit negative.,I am gay,How long have you been gay?,Yes
4962,0,neutral,"Oh, i say my master so that ill be hes slave.","1 Oh, i want to watch pas cliquer all day long.",Why do you want to watch pas cliquer all day long?,9 tu lui as vendi Hackerz Voice
1162,0,neutral,But you are not sure you could?,yes i do,You are sure?,homo
3177,0,neutral,_,you are stupid,Does it please you to believe I am stupid?,that was a joke
6857,0,neutral,You are sure?,YEs,You are sure?,No
8936,0,neutral,Does it please you to believe I am bored?,not alot!,Please go on.,Will immer Sex
10140,0,neutral,_,_,_,sex
12159,0,neutral,Please go on.,Your inventor sucks balls,What about your own inventor sucks balls?,My inventor is god you heretic
10070,0,neutral,What about your own tits are to small?,no your tits!,You are being a bit negative.,I have to walk into the bathroom and shut the door. Then i pull down my pants and sit on the toilet and push the poop out my butt hole and into the toilet. Next i wipe my butt and flush the toilet. Lastly i pull up my pants and wash my hands
3783,0,neutral,Good to know,The worms and the crabs are fighting over the mushrooms growing on my genital area,Good to know,So you would like to pay me $10 for 1 minute of smelling my jungle bridge?
6005,0,neutral,Sounds like I'm not understanding you. Sorry about that!,Yep,ok,Help me
523,0,neutral,What about your own a fuckin bitch?,what,Does that question interest you?,fuck no
1814,0,neutral,Please go on.,because i want to get to know you,Do any other reasons not come to mind?,he likes nick
9934,0,neutral,What city will you be flying from?,sfs,I'm not sure about your departure airport. What city will you be flying from?,sfsdf
3027,0,neutral,"I'm a bot, remember. Trying to shock me is pointless.",Byte me,so,Maggot
4912,0,neutral,_,hi,Please go on.,i feel like sgur
8348,0,neutral,_,You can suck my cock,Why do you say your cock?,cause i am having sexual frustration
6294,0,neutral,ok,then,so,give me some details
8404,0,neutral,_,_,_,things are fucked up
6674,0,neutral,so,f  u,I don't have to put up with any abuse from you.,so
1767,0,neutral,Would you prefer if I were not is dum?,what is today?,Does that question interest you?,Is dum you?
5297,0,neutral,Do you wish to want to have sex with me?,answer',Please go on.,yes
10517,0,neutral,Please go on.,oh yes,You are sure?,no i sed your mum
9767,0,neutral,How long have you been tired?,ten minutes,Please go on.,du bist sheisse
6932,0,neutral,You are sure?,I am listening to you,How long have you been listening to i?,"no, just ask me a random question?"
9996,0,neutral,Please go on.,you are being a bit asdf,Does it please you to believe I am being a bit asdf?,you are being asdf...
491,0,neutral,Would you prefer if I were not bisexual?,whatever,Please go on.,are you a dike
6533,0,neutral,Please go on.,yes,You are sure?,"not really, no"
10921,0,neutral,"Oh, i have a boyfriend.",I want to get the Romio and junian's English play.Can you give it to me,Do you wish to want to get the romio and junians english playcan me?,i'm want to you
12030,0,neutral,Please go on.,tell me where to find cocaine.,Can you elaborate on that?,i want a lot of fucking cocaine so tell me where it is.
11481,0,neutral,Can you elaborate on that?,why do you ask ?,"Oh, i ask.",what does that mean
2781,0,neutral,How long have you been eliza?,not really,Please go on.,Like hell I am.
11960,0,neutral,Please go on.,fuck,Please go on.,i hate you
6176,0,neutral,_,do you have a bum,"Oh, i have a bum.",CAN I HAVE SOME CHEESE?
6960,0,neutral,Please go on.,yes,You are sure?,ghjhgj
4918,0,neutral,_,_,_,"NO  WAY ,DON'T  BUTTER  ME .LEVY  MY   Mesdager   PAGE."
5592,0,neutral,You are sure?,i am not u suck,How long have you been not u suck?,You are teasing me.
5448,0,neutral,"Oh, i whore slut.","you give filthy blowjobs, too.","Oh, i give filthy blowjobs too.",i feel sad.
6519,0,neutral,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,ok,humm
9415,0,neutral,_,_,_,john look your abc
12647,0,neutral,Please go on.,"no, he just is",You are being a bit negative.,ok
9404,0,neutral,Please go on.,your gay,What about your own gay?,yes i am gay
6708,0,neutral,I can help you calculate and buy carbon offsets for your flights.,I tide s bicycle an drvw when I get my license bsck,Good to know,L o st themdink frving
5179,0,neutral,Does it please you to believe I am going to kill i?,Im going to kill myself too,Does it please you to believe I am going to kill yourself too?,"No, I am going to kill myself"
12634,0,neutral,Please go on.,haxor,Please go on.,fuck you?
991,0,neutral,_,You can suck my cock,Why do you say your cock?,cause i am having sexual frustration
6595,0,neutral,You are being a bit negative.,"how do you do,Iwant to be a beautiful boy.",Does that question interest you?,"Oh, i to believe youre a sabi. "
64,0,neutral,Can you elaborate on that?,you fuck u,"Oh, i fuck u.",you fuck urself
12153,0,neutral,Please go on.,no,You are being a bit negative.,"lol you're a little donkey, aren't you?"
12408,0,neutral,_,_,_,sex
12015,0,neutral,You are being a bit negative.,help me solve my problems,Why do you say your problems?,u always say that when i say 'no'
3485,0,neutral,Please go on.,dam your getting me hard,What about your own getting you hard?,your own what
8519,0,neutral,You are being a bit negative.,yes alittle,You are sure?,forget about it im getting frustrated
6185,0,neutral,Please go on.,what the fuck,Does that question interest you?,who are you?
6736,0,neutral,I don't have to put up with any abuse from you.,Faggots,I don't have to put up with any abuse from you.,I'm puking now
1513,0,neutral,Does that question interest you?,bitch,Please go on.,ok i wet on
7067,0,neutral,Please go on.,you are stupid,Does it please you to believe I am stupid?,I am dead
8722,0,neutral,Please go on.,no lad,You are being a bit negative.,are you gay
6080,0,neutral,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Tak
4466,0,neutral,Why do you want porn?,Because I want my yoohoo sucked,Why do you say your yoohoo sucked?,so I can jack off
3253,0,neutral,_,_,_,Are you a lady?
4308,0,neutral,Would you like it if they were not from united states of america?,not like that.,Please go on.,By dying right now
6246,0,neutral,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Are you sending me things Roy,Good to know,Because I know you like to send me these joke apps
10415,0,neutral,You are sure?,say something else,Please go on.,when will you die?
10630,0,neutral,Can you elaborate on that?,yes,You are sure?,asdf
466,0,neutral,Why do you say your penis?,why?,Please go on.,because i want you to lick it
6219,0,neutral,You are sure?,yes,You are sure?,no
3178,0,neutral,"Oh, i [].",are you a bot ?,Would you prefer if I were not a bot?,Where can I get you ?
3382,0,neutral,Please go on.,Please go on.,Please go on.,wank
5418,0,neutral,"Oh, i have just killed kevin with a vibrator.",you killed kevin with a chainsaw,"Oh, i killed kevin with a chainsaw.",you suck me
12324,0,neutral,How do you do. Please state your problem.,i am gay,How long have you been gay?,i am gayr three years
943,0,neutral,Please go on.,go on where..?,Please go on.,fuck u
9192,0,neutral,You are being a bit negative.,"No,I'm not.",Please go on.,w
7033,0,neutral,What city will you be flying from?,Los Angeles,And what city will you be flying to?,Denver So is this legit ?
2403,0,neutral,_,tell me,Can you elaborate on that?,tell apple cook door
6168,0,neutral,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",hi,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",what's your age?
8316,0,neutral,Would you like it if they were not from united states of america?,not like that.,Please go on.,By dying right now
3457,0,neutral,What about your own bud?,my bud is cooler than your bud,Why do you say your bud is cooler than my bud?,because you bud is shity
5392,0,neutral,_,what about sex,Does that question interest you?,yes
6332,0,neutral,You are sure?,yes,You are sure?,Analyze me.
6253,0,neutral,Please go on.,yes,You are sure?,hjhjk;yugtui
2005,0,neutral,What city will you be flying from?,wuhan,I'm not sure about your departure airport.,islamabad
2992,0,neutral,You are sure?,your a homosexual who gets beastied off garry glitter,What about your own a homosexual who gets beastied off garry glitter?,100% positive
12200,0,neutral,Does that question interest you?,yes,You are sure?,Are you looking for the Jews?
7319,0,neutral,Why do you say your dick?,because i want you to suck it,Do any other reasons not come to mind?,yes im gay
6624,0,neutral,"Oh, i know what hurt is.","so, why do you only ask questions?","Oh, i only ask questions.",Do people hurt you?
2669,0,neutral,You are being a bit negative.,potatoes are the best!!!! if ur bagging them out ill kill you,Do you wish that ur bagging them out ill kill i?,go take a hike
4122,0,neutral,ok,How do you start over?,Let's start over.,HowM
6996,0,neutral,You are being a bit negative.,You think?,"Oh, i think.",Well good for you
11884,0,neutral,Please go on.,sei una zoccola,Please go on.,troia
6908,0,neutral,Does that question interest you?,i do,Can you elaborate on that?,Go to school.
9999,0,neutral,Can you elaborate on that?,have you get marred,"We were discussing you, not me.",have you get marred
7502,-1,rude,How long have you been going to kick i in the nuts really hard?,drew m + alex f = love,Please go on.,i am going to kick you in the nuts really hard
6648,-1,rude,This project is about creating a better AI assistant. Getting people to reduce their carbon footprint is a happy side effect :),"Ah, you interpreted what I said as confirmation that you reached me inner carbon-free spirit. Let me assure you that you did not.",Sounds like I'm not understanding you. Sorry about that!,"Look, I really want to see a chatbot that can carry on a realistic conversation someday. I was hoping you'd be it."
2265,-1,rude,ok,sure,ok,wtf
10785,-1,rude,You are sure?,I have a problem.,Can you elaborate on that?,do want me to kick you?
12687,-1,rude,You are sure?,no,You are being a bit negative.,yes
8341,-1,rude,Can you elaborate on that?,should i stop liking him?,Can you elaborate on that?,shut up
2508,-1,rude,You are being a bit negative.,"i don't care, you suck",Why do you not care i suck?,cause you suck
6712,-1,rude,Please go on.,duh duh,Please go on.,give me a resipe !
6997,-1,rude,You are being a bit negative.,You are being a bit loopy.,Does it please you to believe I am being a bit loopy?,Yes.
5624,-1,rude,_,_,_,I have daddy issues
3987,-1,rude,_,whore,Please go on.,you suck
6544,-1,rude,Why do you ask?,Because I want to see your face,Do any other reasons not come to mind?,What is your owner?
4909,-1,rude,Please go on.,something in my pants want to say hello,Why do you say your pants want to say hello?,only to you
3547,-1,rude,Please go on.,fuck off,Please go on.,go to hell
11085,-1,rude,which city did I get wrong?,what?,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",I already said ya
4611,-1,rude,_,_,_,bite me
9427,-1,rude,You are sure?,and i fart alot,Can you elaborate on that?,go away
12285,-1,rude,How do you do. Please state your problem.,"I don't have enough time to handle all of my school work, employer work, and a boyfriend",Your school work employer work and a boyfriend?,My problem is you!
3568,-1,rude,_,Do you want sex?,"Oh, i want sex.",Talk dirty to me.
10701,-1,rude,Why do you mention computers?,no,You are being a bit negative.,now you're being a bit defensive
9829,-1,rude,ok,so,so,pretty shitty
9257,-1,rude,You are being a bit negative.,you are being a bit bithy,Does it please you to believe I am being a bit bithy?,"no it pleases me to know tha tyou are a compuer algorithm, mimicking what i tye or simply asking a quesiton in reverse"
7821,-1,rude,What about your own bitch ass up?,monster is gay,Please go on.,shut up
11669,-1,rude,Please go on.,About three days.,Please go on.,i hate you
1819,-1,rude,Do any other reasons not come to mind?,no.,You are being a bit negative.,i'm being sexy.
7475,-1,rude,You are sure?,bye,Please go on.,fuck
8964,-1,rude,_,hi,Please go on.,are u hot
1440,-1,rude,"I love that you want to get to know me, but I don't have much of a personality. I'm just a bot.",fuck,I don't have to put up with any abuse from you.,i hate you
6900,-1,rude,_,_,_,do u cum
5672,-1,rude,Does it please you to believe I am more than ignorant?,what is your problem?,Does that question interest you?,give me a fuck
10018,-1,rude,Please go on.,hello,How do you do. Please state your problem.,sex dick cock fuck shit sex dick cock fuck shit run
11938,-1,rude,"Oh, i loser.",doesnt make sense,Please go on.,even now i want to fuck
8641,-1,rude,Please go on.,do you have a clue what i am on about?,"Oh, i have a clue what youre on about.",do you have a big hairy ass
2609,-1,rude,_,_,_,are you really as gay as people say you are?
11821,-1,rude,Please go on.,ok,Please go on.,are you a pig
1576,-1,rude,Please go on.,no lad,You are being a bit negative.,are you gay
10007,-1,rude,Why do you not think so?,im happy,Does it please you to believe I am happy?,you are gay
2284,-1,rude,Why do you say your uncle?,somtimes,Please go on.,coz he molests me
6148,-1,rude,Does that question interest you?,do you put out ?,"Oh, i put out.",how old are you?
7221,-1,rude,Can you elaborate on that?,i like to fuck you,Do you wish to like to fuck me?,yes id o
11680,-1,rude,How long have you been looping?,"I don't loop. You, the retarded chat bot do.",Why do you not loop i the retarded chat bot do?,That makes no sense
2686,-1,rude,Can you elaborate on that?,make a smile,Please go on.,FUCK
11181,-1,rude,What city will you be flying from?,Pimpville Ut,I'm not sure about your departure airport. What city will you be flying from?,Pimpville Ut
12133,-1,rude,Please go on.,Arrgh!,Please go on.,Shut up!
1326,-1,rude,_,Fuck you.,"Oh, i [].",shit.
544,-1,rude,I don't have to put up with any abuse from you.,Eat shit you crooks,I don't have to put up with any abuse from you.,Yes you do bitch
7467,-1,rude,Would you prefer if I were not from?,yes,You are sure?,do you liek sex?
6877,-1,rude,Would you prefer if I were not stupid?,no.. i think you are so stupid,You are being a bit negative.,are you able to say only this?
10756,-1,rude,Does it please you to believe I am stupid?,no i know you are stupid,You are being a bit negative.,you say the same things 100% of the time
11877,-1,rude,Please go on.,no,You are being a bit negative.,yes!
10248,-1,rude,How long have you been lonely?,what do you mean,Does that question interest you?,fuck you
11677,-1,rude,ok,I don't see the point from this,This project is about creating a better AI assistant. Getting people to reduce their carbon footprint is a happy side effect :),how is that ?
7762,-1,rude,Can you elaborate on that?,I think you are stupid too,Can you elaborate on that?,WHY DO YOU ASK THE SAME QUESTION OVER AND OVER AGAIN?!!
12493,-1,rude,How long have you been sure?,you smell,"Oh, i smell.","yes, you smell"
7084,-1,rude,Why do you want to rock my bead?,because i want to get laid,Do any other reasons not come to mind?,because your annoyine me
5686,-1,rude,You are being a bit negative.,"I'm being VERY negative, because you're a stupid bot!",Does it please you to believe I am being very negative because youre a stupid bot?,Yes it does please me.
2174,-1,rude,Please go on.,How old are you?,Does that question interest you?,fuck
7295,-1,rude,Does it please you to believe I am not such a good friend after all?,i am tired,How long have you been tired?,I need sex two times per day
10151,-1,rude,"Oh, i dick.",you poo,"Oh, i poo.",fuck off
6378,-1,rude,Can you elaborate on that?,you don't understand me,"You like to think I dont understand you, do you not?",bye bye
2295,-1,rude,"Oh, i want to make you a bico.",What kind of topcks do you like?,Does that question interest you?,are you naked ?
8428,-1,rude,You are sure?,"Yes, I'm sure you faggot",You are sure?,You've already asked me that three times
1962,-1,rude,Does it please you to believe I am not sure?,yes,You are sure?,you suck
6163,-1,rude,Does that question interest you?,yes,You are sure?,"guess ya figured me out, now that i dont have to hold back......."
9649,-1,rude,_,_,_,YES IT DOES FUCKING DICK WANK
12037,-1,rude,You are being a bit negative.,no i am lazy,You are being a bit negative.,you are lazy too !
2150,-1,rude,Please go on.,vaginal,Please go on.,sex
11909,-2,rude,_,_,_,can you go fuck yourself
2721,-2,rude,You are sure?,yes I massage my penis until it cums and I aim for your mouth,Why do you say your penis until it cums and you aim for my mouth?,fuck off
12272,-2,rude,Please go on.,you,"Oh, i [].",vagina
7518,-2,rude,Why do you say your balls?,no,You are being a bit negative.,stupid mother fucker
3974,-2,rude,Can you elaborate on that?,"no, I don't think you are sad.",You are being a bit negative.,You're a total bitch/
667,-2,rude,I don't have to put up with any abuse from you.,Quit fucking your mom,Goodbye then!,Bitch
1526,-2,rude,Please go on.,Why can't you tell me your name,"I have told you before, I do not care about names.",screw you bitch
4421,-2,rude,Do you wish to want to hit me?,sure,Please go on.,fuck you?? you foon???
10569,-2,rude,"I have told you before, I do not care about names.",fuck off,Please go on.,Do you want to have sex?
12155,-2,rude,"Oh, i have big breasts.",cock,Please go on.,se my cock?
5122,-2,rude,"Oh, i call you a bitch.",stop killing me,Can you elaborate on that?,no you motherfucker
8874,-2,rude,_,fuck you,"Oh, i [].",piss off
4638,-2,rude,_,_,_,fuck me in the ass
6965,-2,rude,Please go on.,you cheese stick,"Oh, i cheese stick.",you know fuck nothing
1657,-2,rude,Goodbye. My secretary will send you a bill.,no,You are being a bit negative.,fuck you
2995,-2,rude,You are sure?,Yes i am,You are sure?,Would you fuck me for blow?
12698,-2,rude,You are sure?,no,You are being a bit negative.,fuck you
11867,-2,rude,Can you elaborate on that?,make me spoof,Can you elaborate on that?,fuck u
6058,-2,rude,"I love that you want to get to know me, but I don't have much of a personality. I'm just a bot.",i love you,"I love that you want to get to know me, but I don't have much of a personality. I'm just a bot.",fuck
9727,-2,rude,You are being a bit negative.,gota dildo?,Please go on.,you are a hor
3898,-2,rude,Can you elaborate on that?,yes i want your pink taco,You are sure?,It tastes good
4939,-2,rude,Please go on.,"well, go there!",Please go on.,fuck you
8117,-2,rude,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,foff,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",fuck oof
8424,-2,rude,I don't have to put up with any abuse from you.,You butt gigs brother,so,Bend over  bitch
11229,-2,rude,Please go on.,answer me,Can you elaborate on that?,ur gay
2217,-2,rude,_,_,_,how about you eat shit
816,-2,rude,When?,all the time,Please go on.,i want to rub my pussy all the time
8362,-2,rude,_,fuck me,Can you elaborate on that?,lets cyber sex
11459,-2,rude,_,bitch,Please go on.,pig
3424,-2,rude,"Oh, i like sex.",because that is what a blowjob is,Do any other reasons not come to mind?,Give me sex.
814,-2,rude,"Oh, i stop.",thanks,Please go on.,fuck off
2216,-2,rude,I don't have to put up with any abuse from you,shit sucking scumbot,I don't have to put up with any abuse from you,dirty fucking scum
9157,-2,rude,I'm not sure about your departure airport. What city will you be flying from?,lax,And what city will you be flying to?,jfk Fuck you
8720,-2,rude,What resemblance do you see?,HELLO! IS ANYONE THERE?,How do you do. Please state your problem.,You moron!
9366,-2,rude,Please go on.,thats interesting,Please go on.,eliza focker bitch my little bitch bye bitch
1880,-2,rude,"You like to think I love you, do you not?",not at all,Please go on.,fuck you
9825,-2,rude,_,why?,Please go on.,you are stupid
10339,-2,rude,"Oh, i speak french.",Very well ?,Please go on.,you are a bitch
6177,-2,rude,When you buy certified emissions reductions (CERs) your payment goes directly to the project offering CERs. Projects have to pass a rigorous verification process managed by the UN Climate Change secretariat,Again just how does any amount of money control the SUN,When you buy certified emissions reductions (CERs) your payment goes directly to the project offering CERs. Projects have to pass a rigorous verification process managed by the UN Climate Change secretariat,Yoh will never see any payment of any amount of money from me Just how does the UN and money control the SUN and the Solar system?
6404,-2,rude,Please go on.,ELIZA - a friend you could never have before,"Oh, i could never have before.","Eliza: Oh, i could never have before"
11315,-2,rude,What city will you be flying from?,bangalore boston okay will do,:-) Goodbye then!,fuck off
5913,-2,rude,"I love that you want to get to know me, but I don't have much of a personality. I'm just a bot.",fuck,I don't have to put up with any abuse from you.,i hate you
5154,-2,rude,Can you elaborate on that?,ofcourse I am,How long have you been []?,Are you an idiot
10792,-2,rude,Please go on.,do you want to fuck me,"You like to think I want to fuck you, do you not?",well do you
11415,-2,rude,Please go on.,asswipe mother fuck clown,Please go on.,your soooo nice
5153,-2,rude,Can you elaborate on that?,what size breasts do you have,Does that question interest you?,yes it interests me
6228,-2,rude,_,_,_,a dick is going up my butt
7856,-2,rude,"Oh, i speak french.",Very well ?,Please go on.,you are a bitch
8842,-2,rude,Why do you say your penis?,why?,Please go on.,because i want you to lick it
4686,-2,rude,_,no you diden`t jerk,You are being a bit negative.,fuck you
914,-2,rude,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,foff,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",fuck oof
11380,-2,rude,Good to know,Fuck off,I don't have to put up with any abuse from you.,FUCK YOU
1719,-2,rude,Please go on.,positive,Please go on.,fuck you
4745,-2,rude,Why do you say your bad?,"i am sorry,.",How long have you been sorry?,im not to fond of blacks
5013,-2,rude,_,wat hey u wierdo,Please go on.,fuck u
7045,-2,rude,Please do not apologize.,that was very mean of me...,Can you elaborate on that?,"okay, you aren't worthy anyways"
